Updated 03/13/26 at 11:32pm,Position Rank,Position,Team,Value,Age,Rookie,SFPosition Rank,SFValue
Luke Musgrave,TE41,TE,GBP,2303,25.5,No,TE41,1936
Justin Fields,QB33,QB,NYJ,2296,27.0,No,QB40,2061
Xavier Hutchinson,WR104,WR,HOU,2259,25.8,No,WR102,1865
Jalen Royals,WR105,WR,KCC,2254,23.1,No,WR107,1838
Luke McCaffrey,WR106,WR,WAS,2236,24.9,No,WR103,1858
Mac Jones,QB34,QB,SFO,2229,27.5,No,QB29,2987
Anthony Richardson,QB35,QB,IND,2224,23.8,No,QB35,2634
Shedeur Sanders,QB36,QB,CLE,2209,24.1,No,QB33,2760
Jordan James,RB78,RB,SFO,2209,22.0,No,RB78,1858
2028 Late 3rd,,PI,,2198,,,,1928
John Metchie,WR107,WR,CAR,2186,25.6,No,WR109,1821
Skyler Bell,WR108,WR,FA,2183,-1.0,Yes,WR120,1622
Tyquan Thornton,WR109,WR,KCC,2175,25.6,No,WR104,1854
Evan Engram,TE42,TE,DEN,2158,31.5,No,TE42,1888
Jarquez Hunter,RB79,RB,LAR,2139,23.2,No,RB80,1741
Roman Wilson,WR110,WR,PIT,2136,24.7,No,WR113,1724
MarShawn Lloyd,RB80,RB,GBP,2118,25.2,No,RB81,1733
Tahj Brooks,RB81,RB,CIN,2109,23.8,No,RB84,1690
Max Klare,TE43,TE,FA,2104,-1.0,Yes,TE48,1508
Cooper Kupp,WR111,WR,SEA,2100,32.7,No,WR106,1849
Marquise Brown,WR112,WR,KCC,2096,28.8,No,WR111,1770
Audric Estime,RB82,RB,NOS,2095,22.5,No,RB82,1723
2026 Early 4th,,PI,,2084,,,,1798
Devaughn Vele,WR113,WR,NOS,2067,28.2,No,WR112,1770
Will Shipley,RB83,RB,PHI,2066,23.5,No,RB79,1748
Savion Williams,WR114,WR,GBP,2059,24.3,No,WR118,1654
Dawson Knox,TE44,TE,BUF,2053,29.3,No,TE43,1730
Andrei Iosivas,WR115,WR,CIN,2053,26.4,No,WR116,1703
Malik Willis,QB37,QB,MIA,2044,26.8,No,QB23,4550
Keenan Allen,WR116,WR,LAC,2041,33.9,No,WR110,1795
2027 Early 4th,,PI,,2035,,,,1828
Antonio Williams,WR117,WR,FA,2021,-1.0,Yes,WR130,1493
KeAndre Lambert-Smith,WR118,WR,LAC,2011,24.4,No,WR114,1716
